Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TLP-order,,,,2022-07-14 16:17:33,2022-07-14 16:17:39,5.211s,PASSED
,,,,,,,
Test Cases/TLP/1. other-ins_order TLP,,,,2022-07-14 16:17:34,2022-07-14 16:17:39,4.682s,PASSED
"token = sendRequest(findTestObject(""TLP/get_credential TLP""))",,,,2022-07-14 16:17:35,2022-07-14 16:17:37,2.193s,PASSED
slurper = new groovy.json.JsonSlurper(),,store json response to variable,,2022-07-14 16:17:37,2022-07-14 16:17:37,0.030s,PASSED
get_token = slurper.parseText(token.getResponseBodyContent()),,,,2022-07-14 16:17:37,2022-07-14 16:17:37,0.045s,PASSED
private_token = access_token,,define / field api,,2022-07-14 16:17:37,2022-07-14 16:17:37,0.024s,PASSED
g_token = private_token,,store var to global variable,,2022-07-14 16:17:37,2022-07-14 16:17:37,0.156s,PASSED
"println(""token is :"" + g_token)",,,,2022-07-14 16:17:37,2022-07-14 16:17:37,0.009s,PASSED
response_token = token.getResponseText(),,show response to report in test suite,,2022-07-14 16:17:37,2022-07-14 16:17:37,0.002s,PASSED
logInfo($response_token),,,,2022-07-14 16:17:37,2022-07-14 16:17:37,0.081s,PASSED
"order = sendRequest(findTestObject(""TLP/OtherInsOrderTLP"", [""token"":private_token, ""id"":id, ""maskapai_id"":maskapai_id, ""source"":source, ""orderdate"":orderdate]))",,,,2022-07-14 16:17:37,2022-07-14 16:17:39,1.279s,PASSED
get_order = order.getResponseText(),,show response to report in test suite,,2022-07-14 16:17:39,2022-07-14 16:17:39,0.005s,PASSED
logInfo($get_order),,,,2022-07-14 16:17:39,2022-07-14 16:17:39,0.007s,PASSED
