Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TLP-feedback,,,,2022-07-15 15:31:51,2022-07-15 15:31:55,3.848s,FAILED
,,,,,,,
Test Cases/TLP/2. other-ins_feedback TLP,,,,2022-07-15 15:31:51,2022-07-15 15:31:55,3.296s,FAILED
"token = sendRequest(findTestObject(""TLP/get_credential TLP""))",,,,2022-07-15 15:31:52,2022-07-15 15:31:54,1.744s,PASSED
slurper = new groovy.json.JsonSlurper(),,store json response to variable,,2022-07-15 15:31:54,2022-07-15 15:31:54,0.014s,PASSED
get_token = slurper.parseText(token.getResponseBodyContent()),,,,2022-07-15 15:31:54,2022-07-15 15:31:54,0.025s,PASSED
private_token = access_token,,define / field api,,2022-07-15 15:31:54,2022-07-15 15:31:54,0.012s,PASSED
g_token = private_token,,store var to global variable,,2022-07-15 15:31:54,2022-07-15 15:31:54,0.086s,PASSED
"println(""token is :"" + g_token)",,,,2022-07-15 15:31:54,2022-07-15 15:31:54,0.004s,PASSED
response_token = token.getResponseText(),,show response to report in test suite,,2022-07-15 15:31:54,2022-07-15 15:31:54,0.001s,PASSED
logInfo($response_token),,,,2022-07-15 15:31:54,2022-07-15 15:31:54,0.043s,PASSED
"feedback = sendRequest(findTestObject(""TLP/OtherInsFeedbackTLP"", [""token"":private_token, ""id"":id, ""maskapai_id"":maskapai_id, ""source"":source, ""orderdate"":orderdate, ""no_reff"":accno, ""no_polis"":no_polis]))",,,,2022-07-15 15:31:54,2022-07-15 15:31:55,0.453s,PASSED
"verifyElementPropertyValue(feedback, ""SubmitPolisAsuransiTLCResponse.StatusCode"", ""00"", CONTINUE_ON_FAILURE)",,,,2022-07-15 15:31:55,2022-07-15 15:31:55,0.110s,FAILED
result_feedback = feedback.getResponseText(),,show response to report in test suite,,2022-07-15 15:31:55,2022-07-15 15:31:55,0.000s,PASSED
"markPassed(""order date "" + orderdate + "" data ke : "" + no)",,,,2022-07-15 15:31:55,2022-07-15 15:31:55,0.002s,PASSED
logInfo($result_feedback),,,,2022-07-15 15:31:55,2022-07-15 15:31:55,0.004s,PASSED
