Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CPR-feedback,,,,2022-07-19 08:52:21,2022-07-19 08:52:29,7.673s,FAILED
,,,,,,,
Test Cases/CPR/2. other-ins_feedback CPR,,,,2022-07-19 08:52:22,2022-07-19 08:52:26,4.207s,FAILED
"token = sendRequest(findTestObject(""CPR/get_credential_CPR""))",,,,2022-07-19 08:52:23,2022-07-19 08:52:25,2.315s,PASSED
slurper = new groovy.json.JsonSlurper(),,store json response to variable,,2022-07-19 08:52:25,2022-07-19 08:52:25,0.014s,PASSED
get_token = slurper.parseText(token.getResponseBodyContent()),,,,2022-07-19 08:52:25,2022-07-19 08:52:25,0.030s,PASSED
private_token = access_token,,define / field api,,2022-07-19 08:52:25,2022-07-19 08:52:25,0.019s,PASSED
g_token = private_token,,store var to global variable,,2022-07-19 08:52:25,2022-07-19 08:52:26,0.111s,PASSED
"println(""token is :"" + g_token)",,,,2022-07-19 08:52:26,2022-07-19 08:52:26,0.004s,PASSED
response_token = token.getResponseText(),,show response to report in test suite,,2022-07-19 08:52:26,2022-07-19 08:52:26,0.001s,PASSED
logInfo($response_token),,,,2022-07-19 08:52:26,2022-07-19 08:52:26,0.054s,PASSED
"feedback = sendRequest(findTestObject(""CPR/other-ins-feedback_CPR"", [""token"":private_token, ""id"":id, ""order_date"":order_date, ""source"":source, ""accno"":accno, ""nopolis"":nopolis]))",,,,2022-07-19 08:52:26,2022-07-19 08:52:26,0.633s,PASSED
"verifyElementPropertyValue(feedback, ""FeedbackOrderInsCarWarrantyRs.StatusCode"", ""000"", CONTINUE_ON_FAILURE)",,,,2022-07-19 08:52:26,2022-07-19 08:52:26,0.106s,FAILED
result_feedback = feedback.getResponseText(),,show response to report in test suite,,2022-07-19 08:52:26,2022-07-19 08:52:26,0.001s,PASSED
"markPassed(""order date "" + order_date + "" data ke : "" + no)",,,,2022-07-19 08:52:26,2022-07-19 08:52:26,0.004s,PASSED
logInfo($result_feedback),,,,2022-07-19 08:52:26,2022-07-19 08:52:26,0.005s,PASSED
,,,,,,,
Test Cases/CPR/2. other-ins_feedback CPR,,,,2022-07-19 08:52:27,2022-07-19 08:52:29,2.622s,FAILED
"token = sendRequest(findTestObject(""CPR/get_credential_CPR""))",,,,2022-07-19 08:52:27,2022-07-19 08:52:27,0.236s,PASSED
slurper = new groovy.json.JsonSlurper(),,store json response to variable,,2022-07-19 08:52:27,2022-07-19 08:52:27,0.002s,PASSED
get_token = slurper.parseText(token.getResponseBodyContent()),,,,2022-07-19 08:52:27,2022-07-19 08:52:27,0.002s,PASSED
private_token = access_token,,define / field api,,2022-07-19 08:52:27,2022-07-19 08:52:27,0.000s,PASSED
g_token = private_token,,store var to global variable,,2022-07-19 08:52:27,2022-07-19 08:52:27,0.001s,PASSED
"println(""token is :"" + g_token)",,,,2022-07-19 08:52:27,2022-07-19 08:52:27,0.001s,PASSED
response_token = token.getResponseText(),,show response to report in test suite,,2022-07-19 08:52:27,2022-07-19 08:52:27,0.001s,PASSED
logInfo($response_token),,,,2022-07-19 08:52:27,2022-07-19 08:52:27,0.002s,PASSED
"feedback = sendRequest(findTestObject(""CPR/other-ins-feedback_CPR"", [""token"":private_token, ""id"":id, ""order_date"":order_date, ""source"":source, ""accno"":accno, ""nopolis"":nopolis]))",,,,2022-07-19 08:52:27,2022-07-19 08:52:29,2.239s,PASSED
"verifyElementPropertyValue(feedback, ""FeedbackOrderInsCarWarrantyRs.StatusCode"", ""000"", CONTINUE_ON_FAILURE)",,,,2022-07-19 08:52:29,2022-07-19 08:52:29,0.046s,FAILED
result_feedback = feedback.getResponseText(),,show response to report in test suite,,2022-07-19 08:52:29,2022-07-19 08:52:29,0.000s,PASSED
"markPassed(""order date "" + order_date + "" data ke : "" + no)",,,,2022-07-19 08:52:29,2022-07-19 08:52:29,0.002s,PASSED
logInfo($result_feedback),,,,2022-07-19 08:52:29,2022-07-19 08:52:29,0.002s,PASSED
