Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CPR-order,,,,2022-07-19 10:13:26,2022-07-19 10:13:32,5.596s,PASSED
,,,,,,,
Test Cases/CPR/1. other-ins_order CPR,,,,2022-07-19 10:13:27,2022-07-19 10:13:32,5.187s,PASSED
"token = sendRequest(findTestObject(""CPR/get_credential_CPR""))",,,,2022-07-19 10:13:27,2022-07-19 10:13:30,2.604s,PASSED
slurper = new groovy.json.JsonSlurper(),,store json response to variable,,2022-07-19 10:13:30,2022-07-19 10:13:30,0.020s,PASSED
get_token = slurper.parseText(token.getResponseBodyContent()),,,,2022-07-19 10:13:30,2022-07-19 10:13:30,0.043s,PASSED
private_token = access_token,,define / field api,,2022-07-19 10:13:30,2022-07-19 10:13:30,0.019s,PASSED
g_token = private_token,,store var to global variable,,2022-07-19 10:13:30,2022-07-19 10:13:30,0.162s,PASSED
"println(""token is :"" + g_token)",,,,2022-07-19 10:13:30,2022-07-19 10:13:30,0.009s,PASSED
response_token = token.getResponseText(),,show response to report in test suite,,2022-07-19 10:13:30,2022-07-19 10:13:30,0.004s,PASSED
logInfo($response_token),,,,2022-07-19 10:13:30,2022-07-19 10:13:30,0.089s,PASSED
"order = sendRequest(findTestObject(""CPR/other-ins-order_CPR"", [""token"":private_token, ""id"":id, ""order_date"":order_date, ""source"":source]))",,,,2022-07-19 10:13:30,2022-07-19 10:13:32,1.690s,PASSED
get_order = order.getResponseText(),,show response to report in test suite,,2022-07-19 10:13:32,2022-07-19 10:13:32,0.001s,PASSED
logInfo($get_order),,,,2022-07-19 10:13:32,2022-07-19 10:13:32,0.001s,PASSED
