Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
aa,,,,2022-07-20 16:07:04,2022-07-20 16:07:18,14.485s,FAILED
,,,,,,,
Test Cases/CFP/2. other-ins_feedback CFP,,,,2022-07-20 16:07:15,2022-07-20 16:07:18,2.965s,FAILED
"token = sendRequest(findTestObject(""CFP/credential CFP""))",,,,2022-07-20 16:07:15,2022-07-20 16:07:16,0.301s,PASSED
slurper = new groovy.json.JsonSlurper(),,store json response to variable,,2022-07-20 16:07:16,2022-07-20 16:07:16,0.001s,PASSED
get_token = slurper.parseText(token.getResponseBodyContent()),,,,2022-07-20 16:07:16,2022-07-20 16:07:16,0.001s,PASSED
private_token = access_token,,define / field api,,2022-07-20 16:07:16,2022-07-20 16:07:16,0.001s,PASSED
g_token = private_token,,store var to global variable,,2022-07-20 16:07:16,2022-07-20 16:07:16,0.001s,PASSED
"println(""token is :"" + g_token)",,,,2022-07-20 16:07:16,2022-07-20 16:07:16,0.001s,PASSED
response_token = token.getResponseText(),,show response to report in test suite,,2022-07-20 16:07:16,2022-07-20 16:07:16,0.000s,PASSED
logInfo($response_token),,,,2022-07-20 16:07:16,2022-07-20 16:07:16,0.001s,PASSED
"feedback = sendRequest(findTestObject(""CFP/feedbackCFP"", [""token"":private_token, ""norangka"":norangka, ""nokontrak"":accno, ""noimei"":noimei, ""nogsm"":nogsm, ""username"":id]))",,,,2022-07-20 16:07:16,2022-07-20 16:07:18,2.559s,PASSED
"verifyElementPropertyValue(feedback, ""MessageCode"", ""000"", CONTINUE_ON_FAILURE)",,,,2022-07-20 16:07:18,2022-07-20 16:07:18,0.053s,FAILED
result_feedback = feedback.getResponseText(),,show response to report in test suite,,2022-07-20 16:07:18,2022-07-20 16:07:18,0.002s,PASSED
"markPassed(""accno : "" + accno + "" data ke : "" + no)",,,,2022-07-20 16:07:18,2022-07-20 16:07:18,0.002s,PASSED
logInfo($result_feedback),,,,2022-07-20 16:07:18,2022-07-20 16:07:18,0.003s,PASSED
