Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
aa1,,,,2022-07-20 16:16:59,2022-07-20 16:17:06,6.828s,PASSED
,,,,,,,
Test Cases/CFP/2. other-ins_feedback CFP,,,,2022-07-20 16:17:00,2022-07-20 16:17:06,6.140s,PASSED
"token = sendRequest(findTestObject(""CFP/credential CFP""))",,,,2022-07-20 16:17:02,2022-07-20 16:17:05,2.997s,PASSED
slurper = new groovy.json.JsonSlurper(),,store json response to variable,,2022-07-20 16:17:05,2022-07-20 16:17:05,0.020s,PASSED
get_token = slurper.parseText(token.getResponseBodyContent()),,,,2022-07-20 16:17:05,2022-07-20 16:17:05,0.047s,PASSED
private_token = access_token,,define / field api,,2022-07-20 16:17:05,2022-07-20 16:17:05,0.024s,PASSED
g_token = private_token,,store var to global variable,,2022-07-20 16:17:05,2022-07-20 16:17:05,0.183s,PASSED
"println(""token is :"" + g_token)",,,,2022-07-20 16:17:05,2022-07-20 16:17:05,0.011s,PASSED
response_token = token.getResponseText(),,show response to report in test suite,,2022-07-20 16:17:05,2022-07-20 16:17:05,0.003s,PASSED
logInfo($response_token),,,,2022-07-20 16:17:05,2022-07-20 16:17:05,0.098s,PASSED
"feedback = sendRequest(findTestObject(""CFP/feedbackCFP"", [""token"":private_token, ""norangka"":norangka, ""nokontrak"":accno, ""noimei"":noimei, ""nogsm"":nogsm, ""username"":id]))",,,,2022-07-20 16:17:05,2022-07-20 16:17:06,0.673s,PASSED
"verifyElementPropertyValue(feedback, ""MessageCode"", ""003"", CONTINUE_ON_FAILURE)",,,,2022-07-20 16:17:06,2022-07-20 16:17:06,0.080s,PASSED
result_feedback = feedback.getResponseText(),,show response to report in test suite,,2022-07-20 16:17:06,2022-07-20 16:17:06,0.002s,PASSED
"markPassed(""accno : "" + accno + "" data ke : "" + no)",,,,2022-07-20 16:17:06,2022-07-20 16:17:06,0.011s,PASSED
logInfo($result_feedback),,,,2022-07-20 16:17:06,2022-07-20 16:17:06,0.002s,PASSED
